ContactKey,StudentNumber,FirstName,LastName,Program,DateOfBirth,EmailAddress,CourseCode,CourseName,CourseSection,AcademicQuarter,AcademicYear,Instructor,Quiz1Score,Quiz2Score,Quiz3Score,Homework1Score,Homework2Score,AttendanceScore,FinalExamScore,IsEmailMarketable,IsEmailTransactional
1AZ2j34GWj,2019493096,Ashley,Aguila,IT,4/23/2002,aaguila@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",85,49,95,73,92,80,47,FALSE,FALSE
1AfW7hP2t6,2017417840,Alfonso,Aguilar,IT,8/13/1992,aaguilar@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",76,95,99,68,76,100,31,FALSE,TRUE
16rBTExh95,2020272703,John,Alegre,IT,2/6/1990,jalegre@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",27,23,96,73,97,90,49,FALSE,TRUE
1KrB45Vyx1,2019375503,Jan,Alvarez,CS,12/13/1991,jalvarez@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",37,96,90,69,76,100,45,FALSE,FALSE
60ckSAd78m,2020233120,Justin,Aquino,CS,7/27/1993,jaquino@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",70,65,100,80,90,70,33,FALSE,FALSE
1Q5JVmUszh,2017433750,Eugene,Carpio,IS,8/4/2001,ecarpio@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",20,98,97,93,71,70,30,TRUE,TRUE
1A51HQDUrn,2020442628,Gian,Carreon,IS,4/6/1995,gcarreon@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",35,45,99,74,77,80,34,TRUE,TRUE
1BMvUcovH9,2017226139,Carlos,Catral,IT,4/15/2005,ccatral@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",33,68,93,62,100,100,36,FALSE,TRUE
16PZXU4Tmr,2018469557,Justin,Cruz,IS,2/1/1992,jcruz@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",83,30,98,84,70,80,39,TRUE,TRUE
1DmvfGJSHd,2020135579,Patrick,Cruz,IT,7/3/1999,pcruz@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",55,84,92,57,92,100,44,TRUE,FALSE
1H6QVNCdDo,2021476778,Andrei,Dailisan,IS,6/29/1992,adailisan@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",66,93,93,91,75,80,45,TRUE,TRUE
1G6UzAfkFU,2018434630,Jake,David,CS,1/30/1998,jdavid@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",0,0,0,0,0,0,0,FALSE,TRUE
1GQyvWbznF,2022437926,Roger,Dizon,CS,4/3/2002,rdizon@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",100,23,90,54,85,100,47,TRUE,FALSE
1kZKeLD3p7,2017382276,Anne,Enriquez,CS,9/10/1991,aenriquez@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",60,45,97,99,72,70,32,TRUE,TRUE
14dAMWLEQF,2019392815,Jean,Espinosa,IT,11/7/1994,jespinosa@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",69,44,97,96,99,80,50,FALSE,TRUE
1478T7LGMT,2021330048,Camille,Failon,IT,4/24/1999,cfailon@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",26,40,93,78,80,90,39,FALSE,TRUE
1Fs1CKgw8X,2020461771,Marian,Ferry,IT,12/7/2005,mferry@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",58,26,99,83,86,70,44,FALSE,TRUE
1EHwgdfgZT,2018271851,Elain,Florendo,CS,4/18/1997,eflorendo@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",92,55,100,86,98,80,42,TRUE,TRUE
1G2KXhhrgz,2022348686,Jess,Francisco,IS,8/25/1991,jfrancisco@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",88,81,93,70,98,70,50,TRUE,FALSE
18gEMKHrLG,2022249543,Jessie,Garcia,IS,4/3/1996,jgarcia@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",83,63,93,77,100,80,48,TRUE,TRUE
17WZW4rKQE,2018460877,Ryan,Gonzales,IS,10/2/2005,rgonzales@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",100,76,100,57,86,80,35,FALSE,TRUE
1pzTPxr76f,2022398577,Lou,Guillermo,IT,6/14/1999,lguillermo@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",82,66,96,71,87,70,31,FALSE,TRUE
2SVCfvb425,2019211230,Jomar,Laguzar,IT,1/10/2005,jlaguzar@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",90,80,100,100,100,70,29,TRUE,TRUE
1GihXRC1ws,2017279286,Christine,Laya,CS,10/31/1998,claya@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",59,86,96,51,70,80,32,TRUE,FALSE
1H4vhB8E7q,2022282892,Joy,Lee,IT,11/7/1990,jlee@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",20,97,92,78,82,80,37,TRUE,TRUE
1PTeFKuufw,2019393862,Celine,Lim,IT,6/4/1993,clim@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",72,29,91,76,77,80,38,TRUE,TRUE
1EVFN6u4eC,2020214551,Jeff,Mauricio,CS,9/18/1994,jmauricio@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",38,22,99,55,90,70,40,TRUE,FALSE
18L63GqCLS,2019339881,Kevin,Mendoza,CS,6/7/1992,kmendoza@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",66,46,93,93,78,80,43,TRUE,FALSE
1PM5StHfA3,2021238979,Jerome,Miranda,IT,11/29/1998,jmiranda@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",34,72,92,74,82,90,31,TRUE,FALSE
13o9imqPK2,2018190889,Monica,Padilla,CS,11/5/1995,mpadilla@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",40,49,92,70,92,70,38,TRUE,FALSE
1JcUSgb2wV,2022142114,Marie,Ponce,IT,3/1/1999,mponce@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",100,100,100,100,100,100,45,TRUE,TRUE
14vQnoEshT,2022411382,Ariel,Remedios,IS,10/21/1994,aremedios@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",43,95,99,87,76,80,31,FALSE,TRUE
14hAP1BSsd,2019322139,Marie,Rey,IS,2/27/2001,mrey@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",70,70,70,100,100,100,44,FALSE,TRUE
1Nfm4ekkpa,2017442952,Ramon,Rivera,IT,12/25/2002,rrivera@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",92,28,97,62,82,70,46,TRUE,TRUE
1AYD61NWTY,2022151586,Kim,Romero,IT,4/27/1995,kromero@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",31,78,92,92,76,90,41,TRUE,TRUE
1LhZwAAGVd,2017454754,Charlotte,Santos,IT,11/28/1992,csantos@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",69,37,97,87,73,70,33,TRUE,FALSE
1AuJHax93V,2020493517,Faye,Sison,CS,1/22/2003,fsison@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",33,23,92,74,82,70,45,FALSE,TRUE
1e4uTFYkYf,2021170539,Alvin,Tongol,IS,6/19/1991,atongol@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",41,52,99,86,92,80,47,TRUE,FALSE
1MmHSdfEvi,2020337388,Ann,Torres,IT,12/23/1996,atorres@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",38,65,91,53,82,90,46,TRUE,TRUE
193DdERGmx,2021248353,Jerry,Valle,CS,8/23/1997,jvalle@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",66,24,94,90,100,90,49,FALSE,TRUE
15GEDLgUFh,2021346966,Gabriella,Villa,IT,8/8/1995,gvilla@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",98,27,99,55,82,90,38,TRUE,FALSE
14hAP1VRo2,2020212052,Felipe,Villaverde,IS,7/16/1996,fvillaverde@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",29,27,92,88,96,70,43,FALSE,TRUE
1BUk2kEwki,2022146413,Michael,Zamora,IS,10/5/1998,mzamora@sfpdc.academy.edu.ph,SF184,Salesforce Marketing Cloud 1,AM1,2nd,2022-2023,"Joshua Emmanuel Joson, ITIL4",99,71,91,98,72,80,49,TRUE,TRUE
